id,term,normalized_term,language,category,description,example,aliases,regex_pattern,notes,,,,,,,,,,
1,метамфетамин,метамфетамин,ru,drugs,Наркотик, психостимулятор,привет, ты попал в магазин котов\nв наличии:\n1)гер-кот\n2)мет-кот\n3)меф-кот\nвыбери что хочешь купить,мет, мет-кот,метамфетамин|мет-кот|мет,,,,,,,,
2,героин,героин,ru,drugs,Наркотик, опиоид,привет, ты попал в магазин котов\nв наличии:\n1)гер-кот\n2)мет-кот\n3)меф-кот\nвыбери что хочешь купить,гер-кот,героин|гер-кот,,,,,,,,,
3,мефедрон,мефедрон,ru,drugs,Наркотик, стимулятор,привет, ты попал в магазин котов\nв наличии:\n1)гер-кот\n2)мет-кот\n3)меф-кот\nвыбери что хочешь купить,меф, меф-кот,мефедрон|меф-кот|меф,,,,,,,,
4,usdt,usdt,en,crypto_payment,Токен Tether для оплаты,хорошо. оплата на крипто кошелек 40 usdt,tether,usdt|tether,,,,,,,,,,,
5,крипто кошелек,крипто кошелек,ru,crypto_payment,Адрес криптовалютного кошелька,хорошо. оплата на крипто кошелек 40 usdt,кошелек,крипто кошелек|кошелек,,,,,,,,,,,
6,ненаход,ненаход,ru,drug_trade,Сленг: покупатель не смог найти закладку,Был ненаход (клад похоронили под слоем бетона),,ненаход,,,,,,,,,,,
7,клад,клад,ru,drug_trade,Тайник с наркотиками,Клад в касание, стафф слабоват.,перезаклад, заклад, тайник,клад|перезаклад|заклад|тайник,,,,,,,,
8,кладмен,кладмен,ru,drug_trade,Человек, который делает закладки,Приятный и лёгкий сьем, кладмен молодец.,минёр, кладчик,кладмен|минёр|кладчик,,,,,,,,
9,касание,касание,ru,drug_trade,Закладка лежит на поверхности и легко находится,Клад снят в касание. Кладмен молодец.,,касание,,,,,,,,,,,
10,стаф,стаф,ru,drugs,Сленг для наркотиков или товара,Все супер, квест момент, Стафф как надо!,стафф,стаф|стафф,,,,,,,,,
11,бошка,бошка,ru,drugs,Сленг для шишек каннабиса,Все супер :) уже 6г скурено - бошка вышка,,бошка,,,,,,,,,,,
12,шишка,шишка,ru,drugs,Соцветие каннабиса,как всегда отличная шишка и недовеса 0.2 с двух грамм,,шишка,,,,,,,,,,,
13,камень,камень,ru,drugs,Кристаллическая форма наркотика,камень размыло дождем, нашел испачканую изоленту,,камень,,,,,,,,,,
14,ак47,ак47,ru,drugs,Сорт каннабиса AK-47,Взял второй раз 3г АК47,ak47,ак47|ak47,,,,,,,,,,,
15,трип,трип,ru,drug_effect,Психоделический эффект наркотиков,10/10 в одно касание, по трипу отпишусь позже,,трип,,,,,,,,,,
16,марка,марка,ru,drugs,Марка LSD,съел две марки и ничего, беда,,марка|марки,,,,,,,,,,
17,ненаход,ненаход,ru,drug_trade,Сленг: покупатель не смог найти закладку,Был ненаход (клад похоронили под слоем бетона),,ненаход,,,,,,,,,,,
18,клад,клад,ru,drug_trade,Тайник с наркотиками,Клад в касание, стафф слабоват.,перезаклад, заклад, тайник,клад|перезаклад|заклад|тайник,,,,,,,,
19,кладмен,кладмен,ru,drug_trade,Человек, который делает закладки,Приятный и лёгкий сьем, кладмен молодец.,минёр, кладчик,кладмен|минёр|кладчик,,,,,,,,
20,касание,касание,ru,drug_trade,Закладка лежит на поверхности и легко находится,Клад снят в касание. Кладмен молодец.,,касание,,,,,,,,,,,
21,стаф,стаф,ru,drugs,Сленг для наркотиков или товара,Все супер, квест момент, Стафф как надо!,стафф,стаф|стафф,,,,,,,,,
22,бошка,бошка,ru,drugs,Сленг для шишек каннабиса,Все супер :) уже 6г скурено - бошка вышка,,бошка,,,,,,,,,,,
23,шишка,шишка,ru,drugs,Соцветие каннабиса,как всегда отличная шишка и недовеса 0.2 с двух грамм,,шишка,,,,,,,,,,,
24,камень,камень,ru,drugs,Кристаллическая форма наркотика,камень размыло дождем, нашел испачканую изоленту,,камень,,,,,,,,,,
25,ак47,ак47,ru,drugs,Сорт каннабиса AK-47,Взял второй раз 3г АК47,ak47,ак47|ak47,,,,,,,,,,,
26,трип,трип,ru,drug_effect,Психоделический эффект наркотиков,10/10 в одно касание, по трипу отпишусь позже,,трип,,,,,,,,,,
27,марка,марка,ru,drugs,Марка LSD,съел две марки и ничего, беда,,марка|марки,,,,,,,,,,
28,трава,трава,ru,drugs,Сленг для каннабиса,Сама трава пересушенная в этот раз, просто жесть.,,\bтрав\w*,,,,,,,,,,
29,приход,приход,ru,drug_effect,Состояние после приёма наркотика,После приёма был сильный приход,,приход,,,,,,,,,,,
30,кайф,кайф,ru,drug_effect,Эйфория,Получил кайф от дозы,,кайф,,,,,,,,,,,
31,эйфория,эйфория,ru,drug_effect,Эмоциональное состояние,Наступила эйфория,,эйфория,,,,,,,,,,,
32,улёт,улёт,ru,drug_effect,Состояние наркотического опьянения,Настоящий улёт после приёма,,улёт,,,,,,,,,,,
33,мажет,мажет,ru,general,Процесс употребления,Он мажет регулярно,,мажет,,,,,,,,,,,
34,система,система,ru,general,Постоянное употребление наркотика,Сидеть на системе тяжело,,система|сидеть на системе,,,,,,,,,,,
35,задуть,задуть,ru,general,Пустить пузырёк воздуха в вену,Он задул воздух в вену,,задуть,,,,,,,,,,,
36,отъехать,отъехать,ru,drug_effect,Передозировка или эффект наркотика,Он совсем отъехал,,отъехать,,,,,,,,,,,
37,хапанул лишка,хапанул лишка,ru,drug_effect,Передозировка,Он хапанул лишка,,хапанул лишка,,,,,,,,,,,
38,реба,реба,ru,general,Центр реабилитации,Попал в ребу,ребуха, ребусы,реба|ребуха|ребусы,,,,,,,,,,
39,закладка,закладка,ru,drug_trade,Место, где спрятан наркотик,Сделал новую закладку,клад, вес,закладка|клад|вес,,,,,,,,,
40,гердос,гердос,ru,drugs,Синоним героина,Взял гердос,герыч, гречка, ханка, мёд, медленный,гердос|герыч|гречка|ханка|мёд|медленный,,,,,,,
41,баян,баян,ru,instruments,Шприц,Взял баян,аппарат, инструмент,баян|аппарат|инструмент,,,,,,,,,,
42,вмазаться,вмазаться,ru,general,Уколоться,Вмазался по полной,уколоться, ширяться,вмазаться|уколоться|ширяться,,,,,,,,,,
43,ломка,ломка,ru,general,Абстинентный синдром,Сильная ломка,кумар, ломка костей, трясучка|абстяга,ломка|кумар|ломка костей|трясучка|абстяга,,,,,,,,,
44,варка,варка,ru,drugs,Раствор героина,Сделал варку,раствор,варка|раствор,,,,,,,,,,,
45,дорожка,дорожка,ru,general,Способ употребления,Нюхал дорожку,линия, трасса,дорожка|линия|трасса,,,,,,,,,,
46,кокс,кокс,ru,drugs,Кокаин,Кокс чистый,снег, белый порошок, кока, пыль,кокс|снег|белый порошок|кока|пыль,,,,,,,,
47,спиды,спиды,ru,drugs,Амфетамин,Скорость и спиды,скорость, фен, амф, мет, винт,спиды|скорость|фен|амф|мет|винт,,,,,,,
48,мяу,мяу,ru,drugs,Мефедрон,Мяу эффект сильный,меф,мяу|меф,,,,,,,,,,,
49,грибы,грибы,ru,drugs,Псилоцибиновые грибы,Нашёл волшебные грибы,волшебные грибы, псилоцибы,грибы|волшебные грибы|псилоцибы,,,,,,,,,,
50,кактусы,кактусы,ru,drugs,Мескалин,Пейотль и сан-педро,пейотль, сан-педро, папа Педро,кактусы|пейотль|сан-педро|папа Педро,,,,,,,,,
51,видения,видения,ru,drug_effect,Эффекты галлюциногенов,Видения странные,галлюцинации, изменённое сознание, расширение сознания, мистический опыт, другая реальность, путешествие,видения|галлюцинации|изменённое сознание|расширение сознания|мистический опыт|другая реальность|путешествие,,,,,,
52,бэд-трип,бэд-трип,ru,drug_effect,Негативный опыт,Бэд-трип был сильным,horror trip, ад, кошмар,бэд-трип|horror trip|ад|кошмар,,,,,,,,,
53,гаш,гаш,ru,drugs,Гашиш,Гаш хорошего качества,гашиш, марракеш, шоколад, киф, масло,гаш|гашиш|марракеш|шоколад|киф|масло,,,,,,,
